카테고리,용어,의미
API,카카오 키워드광고 API,"카카오 키워드광고 플랫폼의 광고계정, 캠페인, 광고그룹, 소재, 키워드와 관련된 설정 정보를 API로 조회하고 이와 관련된 성과 지표를 확인할 수 있는 기능을 제공"
Account,카카오계정,카카오서비스의 계정서비스를 적용하기 위한 가이드
API,카카오내비 SDK,서비스에서 내비게이션 기능을 사용할 수 있도록 SDK 및 API를 제공
Developer Platform & Library,"카카오디벨로퍼스(Kakao Developers, 카카오 API)",카카오 로그인 등 API 플랫폼파트에서 제공하는 API 플랫폼
API,카카오모먼트 API,"카카오모먼트 플랫폼의 광고계정, 캠페인, 광고그룹, 소재와 관련된 설정 정보를 API로 조회하고 이와 관련된 성과 지표를 확인할 수 있는 기능을 제공"
Managed Service,카카오비즈니스(Kakao Business),카카오 계정 하나로 비즈니스와 관련된 서비스를 신청하고 필요한 정보들을 관리할 수 있는 비즈니스 플랫폼
API,카카오싱크,소셜 로그인인 카카오 로그인으로 보다 편리하게 서비스에 가입할 수 있는 기능
API,카카오톡 공유,사용자가 카카오톡 메시지로 친구에게 메시지에 담긴 정보를 공유하는 기능
API,카카오톡 메시지 API,사용자의 카카오톡 친구에게 카카오톡 메시지를 전송하는 API
API,카카오톡 소셜 API,서비스의 소셜 기능 구현을 위한 사용자의 카카오톡 프로필과 친구 정보를 제공
API,카카오톡 오픈채팅 API,특정 서비스 앱(애플리케이션)과 카카오톡 오픈채팅을 연결하는 기능을 제공
API,카카오톡 채널 API,"카카오톡 채널 추가, 친구 관계 확인, 고객 그룹 관리"
Storage,Kage/Metakage,분산 스토리지 플랫폼(Tenth로 통합 예정)
AI,CodeBuddy,"kakao GitHub 및 IDE(VS Code, JetBrains)에서 개발, 코드리뷰 활동을 돕는 AI 도구"
Account,크럭스 계정(Crux Account),카카오 비즈니스 통합 계정
Notification,Toros Admin/Cloud,"사용자 클릭/행동 기반의 개인화된 컨텐츠 큐레이팅, 텍스트/영상/음악 기반의 유사 컨텐츠 추천"
API,톡서랍 플러스 API,"카카오톡에서 주고받은 데이터를 자동으로 백업하거나, 사용자가 직접 업로드한 데이터까지 모두 한 곳에서 보관하고 관리할 수 있는 서비스"
API,톡캘린더 API,"카카오톡 채팅방에서 일정을 만들고, 할 일을 등록해 손쉽게 관리할 수 있는 서비스"
Application,Photo Editor (Photos),웹 기반 이미지 편집기
API,푸시 알림 API,Apple Push Notification service(APNs)과 Firebase Cloud Messaging(FCM)을 활용하여 카카오 API 플랫폼에서 사용자에게 푸시 알림 전송
Support,풀빌리지(Pool Village),"기본 풀빌라의 개선 제품, 서버 풀 반납용(인프라 내부 도구)"
API,Daum 검색 API,"포털 사이트 Daum에서 방대한 웹 문서, 동영상, 이미지, 블로그, 책, 카페를 검색하는 기능을 제공"
Developer Platform & Library,FEDEV PROXY,로컬 프런트엔드 개발 시 사용하는 리버스 프락시
Security,FORCE,웹 애플리케이션 정적(소스코드) 보안 진단 도구
Analytics,"Hadoop, KHP(Kakao Hadoop Platform)","빅데이터 분석, 로그 보관, 스트리밍 등 다양한 형태로 데이터 작업을 수행할 수 있도록, 공용 및 개별 하둡 클러스터를 제공"
Storage,HDFS/YARN,대용량 데이터 저장 및 분산 처리 솔루션
Account,Hello-MIS,Hellomis 사내계정 조회/인증 서비스
API,Iceland PAPI,"카카오톡의 Session Validation, User, Device, Friends 정보를 Service하는 서버"
Support,IPS(IIPS),"장비투자계획 시스템, 장비 수요 조사"
Managed Service,IT 거버넌스 포털,서비스 카탈로그
Support,Jira,업무 이슈를 관리하는 이슈 트래킹 서비스
AI/Notification,Kakao AI Platform(KAP),AI 모델 학습 및 추론 서비스 환경을 제공하는 플랫폼
Security,Kakao SSO,KCP 서비스들의 SSO 연동을 위한 서비스
AI,KAP 에이전트(Agent),생성형 인공지능 기술을 이용하는 클라우드 기반 챗봇(AI 에이전트) 서비스를 만들 수 있는 SaaS 플랫폼
Managed Service,Functions,클라우드 기반 Functions as a Service
Support,KDMS,DBMS 자산관리 및 운영 통합어드민 플랫폼
Analytics,KIP(Kakao Index Portal),카카오 내 지표 통합 제공 시스템
Application,kko.to/ShortURL,URL 축약 서비스
Storage,Pojang24,Hadoop 클러스터 간 데이터 이동 서비스
Application,QR코드,QR 코드 생성 및 관리 도구
Storage,Tenth2,대용량 분산 저장소
Support,Wiki,업무 문서를 관리하는 협업 시스템
Security,ZAPS,웹 애플리케이션 동적 보안 진단 도구
Application/Support,Tech Learn/Cloud Learn,
Managed Service,KEAP,
